filename,model,time_0,llm_calls_0,local_cache_hits_0,uncached_input_tokens_0,cached_input_tokens_0,completion_tokens_0,total_tokens_0,input_cost_usd_0,cached_input_cost_usd_0,output_cost_usd_0,estimated_api_cost_usd_0,billable_cost_usd_0
source.csv,gpt-5.6-luna,0.06408262252807617,1,1,972,0,133,1105,,,,,0.0
file_footnote_3_blank_line.csv,gpt-5.6-luna,0.10452437400817871,2,2,3254,0,225,3479,,,,,0.0
file_quotation_char_none.csv,gpt-5.6-luna,0.10428953170776367,2,2,14843,0,7146,21989,,,,,0.0
file_mixed_time_formats_month_day_year.csv,gpt-5.6-luna,0.064788818359375,1,1,972,0,165,1137,,,,,0.0
file_move_header_row8.csv,gpt-5.6-luna,0.07722663879394531,1,1,972,0,291,1263,,,,,0.0
file_header_multirow_3.csv,gpt-5.6-luna,0.08514523506164551,1,1,869,0,263,1132,,,,,0.0
file_more_columns_row_39_col_8.csv,gpt-5.6-luna,0.09733772277832031,2,2,2385,0,557,2942,,,,,0.0
file_mixed_delimiters_within_row_row_13_range_1_0x3B.csv,gpt-5.6-luna,0.10476970672607422,2,2,2371,0,565,2936,,,,,0.0
file_mixed_time_formats_iso_8601.csv,gpt-5.6-luna,0.08416032791137695,1,1,972,0,141,1113,,,,,0.0
file_more_columns_row_9_col_6.csv,gpt-5.6-luna,0.10599470138549805,2,2,2394,0,807,3201,,,,,0.0
file_no_trailing_newline.csv,gpt-5.6-luna,0.06455540657043457,1,1,972,0,133,1105,,,,,0.0
file_footnote_3.csv,gpt-5.6-luna,0.12523794174194336,2,2,3254,0,237,3491,,,,,0.0
file_extremely_long_field_row_3_col_6_len_10000.csv,gpt-5.6-luna,0.07640218734741211,1,1,2708,0,164,2872,,,,,0.0
file_num_columns_1000.csv,gpt-5.6-luna,0.3191642761230469,1,1,5195,0,3210,8405,,,,,0.0
file_whitespace_delimiter_cells_quoted_unpadded.csv,gpt-5.6-luna,0.059209346771240234,1,1,1017,0,492,1509,,,,,0.0
file_more_columns_row_72_col_5.csv,gpt-5.6-luna,0.10197901725769043,2,2,2378,0,636,3014,,,,,0.0
file_mixed_time_formats_long_month_name.csv,gpt-5.6-luna,0.06597042083740234,1,1,978,0,182,1160,,,,,0.0
combo__multiline_header_rows_3__footnote_2_blank_line.csv,gpt-5.6-luna,0.10776185989379883,2,2,2776,0,314,3090,,,,,0.0
file_commented_row_56.csv,gpt-5.6-luna,0.0668027400970459,1,1,972,0,133,1105,,,,,0.0
file_footnote_1.csv,gpt-5.6-luna,0.11653828620910645,2,2,2578,0,313,2891,,,,,0.0
file_mixed_delimiters_whole_row_row_13_0x3B.csv,gpt-5.6-luna,0.10834717750549316,2,2,2611,0,430,3041,,,,,0.0
file_mixed_time_formats_day_month_year.csv,gpt-5.6-luna,0.0637807846069336,1,1,972,0,163,1135,,,,,0.0
file_double_trailing_newline.csv,gpt-5.6-luna,0.06672883033752441,1,1,972,0,133,1105,,,,,0.0
file_one_data_row.csv,gpt-5.6-luna,0.039414405822753906,1,1,384,0,132,516,,,,,0.0
file_num_columns_pad_randints_1000.csv,gpt-5.6-luna,0.8722794055938721,1,1,29708,0,3247,32955,,,,,0.0
file_header_multirow_2.csv,gpt-5.6-luna,0.07632946968078613,1,1,917,0,267,1184,,,,,0.0
file_multiline_header_rows_3.csv,gpt-5.6-luna,0.06586766242980957,1,1,828,0,207,1035,,,,,0.0
file_double_escaping_backslash_row_3_col_7.csv,gpt-5.6-luna,0.10979700088500977,2,2,3050,0,1821,4871,,,,,0.0
file_field_delimiter_0x3B.csv,gpt-5.6-luna,0.06357836723327637,1,1,985,0,224,1209,,,,,0.0
combo__row_quotation_mark_2_0x27__mixed_delimiters_within_row_row_2_range_3_0x3B.csv,gpt-5.6-luna,0.10918855667114258,2,2,2447,0,1133,3580,,,,,0.0
file_less_columns_deleted_value_row_45_col_7.csv,gpt-5.6-luna,0.10767769813537598,2,2,2351,0,328,2679,,,,,0.0
file_more_columns_row_79_col_7.csv,gpt-5.6-luna,0.11024188995361328,2,2,2388,0,495,2883,,,,,0.0
file_commented_row_49.csv,gpt-5.6-luna,0.06711006164550781,1,1,972,0,133,1105,,,,,0.0
file_no_payload.csv,gpt-5.6-luna,0.015383481979370117,1,1,297,0,112,409,,,,,0.0
file_header_only.csv,gpt-5.6-luna,0.040648698806762695,1,1,317,0,111,428,,,,,0.0
file_superheader_sparse_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,gpt-5.6-luna,0.0730595588684082,1,1,905,0,162,1067,,,,,0.0
file_num_rows_50000_repeat_file.csv,gpt-5.6-luna,4.0686609745025635,1,1,972,0,133,1105,,,,,0.0
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,gpt-5.6-luna,0.1366734504699707,2,2,3400,0,348,3748,,,,,0.0
file_escape_char_0x00.csv,gpt-5.6-luna,0.12144947052001953,2,2,3230,0,1483,4713,,,,,0.0
file_record_delimiter_0xD.csv,gpt-5.6-luna,0.06751894950866699,1,1,972,0,133,1105,,,,,0.0
file_unquoted_lists_row_9_col_6.csv,gpt-5.6-luna,0.12831997871398926,2,2,2460,0,576,3036,,,,,0.0
file_mixed_delimiters_within_row_row_13_range_3_0x3B.csv,gpt-5.6-luna,0.1330568790435791,2,2,2451,0,678,3129,,,,,0.0
file_excel_formulas.csv,gpt-5.6-luna,0.06798195838928223,1,1,972,0,133,1105,,,,,0.0
file_record_delimiter_0xA.csv,gpt-5.6-luna,0.07615351676940918,1,1,972,0,133,1105,,,,,0.0
file_superheader_whitespace_aligned_columns_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,gpt-5.6-luna,0.14344286918640137,2,2,35273,0,9875,45148,,,,,0.0
file_whitespace_delimiter_cells_quoted_padded.csv,gpt-5.6-luna,32.280277967453,2,1,29631,0,8592,38223,,,,,
file_no_header.csv,gpt-5.6-luna,0.08544683456420898,1,1,1021,0,345,1366,,,,,0.0
row_quotation_mark_12_0x27.csv,gpt-5.6-luna,0.10881686210632324,2,2,2404,0,1339,3743,,,,,0.0
file_whitespace_delimiter_cells_quoted_empty_last_column_padded.csv,gpt-5.6-luna,19.75146770477295,2,1,29714,0,5794,35508,,,,,
