dataset,sut,pollution_group,total_files,failed_files,poor_files,error_files,failure_rate,poor_rate,error_rate,avg_header_f1,avg_record_f1,avg_cell_f1,min_cell_f1,worst_file
polluted_files,clevercs,ALL,2290,0,756,756,0.000000,0.330131,0.330131,0.975014,0.839681,0.903536,0.111111,file_field_delimiter_0x2C_0x20.csv
polluted_files,clevercs,Double trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,0.994012,1.000000,1.000000,file_double_trailing_newline.csv
polluted_files,clevercs,Empty file (0 bytes),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_payload.csv
polluted_files,clevercs,Extra delimiter in one single row,756,0,0,0,0.000000,0.000000,0.000000,0.999373,1.000000,0.999339,0.999339,row_more_sep_row17_col6.csv
polluted_files,clevercs,Extra unescaped quote in one single row,756,0,746,746,0.000000,0.986772,0.986772,0.933862,0.529757,0.714420,0.407609,row_extra_quote25_col0.csv
polluted_files,clevercs,"Header row only, no data",1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_header_only.csv
polluted_files,clevercs,Missing delimiter in one single row,672,0,0,0,0.000000,0.000000,0.000000,0.997899,0.991071,0.998178,0.998015,row_less_sep_row57_col2.csv
polluted_files,clevercs,Missing trailing newline,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_trailing_newline.csv
polluted_files,clevercs,Multi-row header (2 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.994012,0.982249,0.982249,file_header_multirow_2.csv
polluted_files,clevercs,Multi-row header (3 rows),1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.988095,0.976471,0.976471,file_header_multirow_3.csv
polluted_files,clevercs,No header row,1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_no_header.csv
polluted_files,clevercs,Non-standard escape character (0x00),1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.664277,0.664277,file_escape_char_0x00.csv
polluted_files,clevercs,Non-standard escape character (0x5C),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_escape_char_0x5C.csv
polluted_files,clevercs,Non-standard field delimiter (0x20),1,0,1,1,0.000000,1.000000,1.000000,1.000000,0.409639,0.880997,0.880997,file_field_delimiter_0x20.csv
polluted_files,clevercs,Non-standard field delimiter (0x2C_0x20),1,0,1,1,0.000000,1.000000,1.000000,0.111111,0.000000,0.111111,0.111111,file_field_delimiter_0x2C_0x20.csv
polluted_files,clevercs,Non-standard field delimiter (0x3B),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_field_delimiter_0x3B.csv
polluted_files,clevercs,Non-standard field delimiter (0x9),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_field_delimiter_0x9.csv
polluted_files,clevercs,Non-standard quotation character (0x27),1,0,1,1,0.000000,1.000000,1.000000,0.777778,0.000000,0.664277,0.664277,file_quotation_char_0x27.csv
polluted_files,clevercs,Non-standard record delimiter (0xA),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_record_delimiter_0xA.csv
polluted_files,clevercs,Non-standard record delimiter (0xD),1,0,0,0,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,file_record_delimiter_0xD.csv
polluted_files,clevercs,One single row uses space as field delimiter,84,0,0,0,0.000000,0.000000,0.000000,0.988095,0.988095,0.993351,0.993351,row_field_delimiter_29_0x20.csv
polluted_files,clevercs,Preamble rows before header,1,0,1,1,0.000000,1.000000,1.000000,0.000000,0.988095,0.988235,0.988235,file_preamble.csv
