filename,duckdbparse_time_0,duckdbparse_time_1,duckdbparse_time_2
file_double_trailing_newline.csv,0.00011515617370605469,0.000125885009765625,0.00012421607971191406
file_escape_char_0x00.csv,0.00014781951904296875,0.00023818016052246094,0.00014901161193847656
file_escape_char_0x5C.csv,0.00018787384033203125,0.0001239776611328125,0.00026702880859375
file_field_delimiter_0x20.csv,0.00014209747314453125,0.0001399517059326172,0.0001232624053955078
file_field_delimiter_0x2C_0x20.csv,0.00013685226440429688,0.00017523765563964844,0.0001201629638671875
file_field_delimiter_0x3B.csv,0.00017213821411132812,0.00011897087097167969,0.00011587142944335938
file_field_delimiter_0x9.csv,0.00013494491577148438,0.00012922286987304688,0.00027370452880859375
file_header_multirow_2.csv,0.0001537799835205078,0.00013875961303710938,0.0001800060272216797
file_header_multirow_3.csv,0.00015306472778320312,0.0002541542053222656,0.0001430511474609375
file_header_only.csv,0.0001442432403564453,0.00012493133544921875,0.0001201629638671875
file_multitable_less.csv,0.0001399517059326172,0.00021409988403320312,0.00014472007751464844
file_multitable_more.csv,0.00015997886657714844,0.00022792816162109375,0.0001277923583984375
file_multitable_same.csv,0.0001480579376220703,0.00014495849609375,0.00013375282287597656
file_no_header.csv,0.00015592575073242188,0.00017905235290527344,0.0001399517059326172
file_no_payload.csv,8.296966552734375e-05,8.606910705566406e-05,0.0001430511474609375
file_no_trailing_newline.csv,0.00019097328186035156,0.00013589859008789062,0.0001430511474609375
file_one_data_row.csv,0.0001900196075439453,0.0001800060272216797,0.00017118453979492188
file_preamble.csv,0.0002779960632324219,0.00013971328735351562,0.00014090538024902344
file_quotation_char_0x27.csv,0.00016808509826660156,0.00011873245239257812,0.00011587142944335938
file_record_delimiter_0xA.csv,0.0002760887145996094,0.00013685226440429688,0.00013113021850585938
file_record_delimiter_0xD.csv,0.00012373924255371094,0.00015687942504882812,0.00011682510375976562
row_extra_quote0_col0.csv,0.0001621246337890625,0.0001430511474609375,0.00011968612670898438
row_extra_quote0_col1.csv,0.00013208389282226562,0.00012969970703125,0.00013184547424316406
row_extra_quote0_col2.csv,0.00012803077697753906,0.00011897087097167969,0.00011014938354492188
row_extra_quote0_col3.csv,0.00017786026000976562,0.00011396408081054688,0.00013709068298339844
row_extra_quote0_col4.csv,0.00012683868408203125,0.0001671314239501953,0.00015997886657714844
row_extra_quote0_col5.csv,0.00013208389282226562,0.00017118453979492188,0.00013017654418945312
row_extra_quote0_col6.csv,0.0001468658447265625,0.00013899803161621094,0.0001239776611328125
row_extra_quote0_col7.csv,0.00015687942504882812,0.00042176246643066406,0.0004107952117919922
row_extra_quote0_col8.csv,0.0002598762512207031,0.0001270771026611328,0.00011992454528808594
row_extra_quote10_col0.csv,0.00012612342834472656,0.0002067089080810547,0.000141143798828125
row_extra_quote10_col1.csv,0.00013875961303710938,0.00024700164794921875,0.00014591217041015625
row_extra_quote10_col2.csv,0.00021195411682128906,0.00012302398681640625,0.00017309188842773438
row_extra_quote10_col3.csv,0.00012421607971191406,0.00017189979553222656,0.00017380714416503906
row_extra_quote10_col4.csv,0.00019693374633789062,0.00021195411682128906,0.00020122528076171875
row_extra_quote10_col5.csv,0.0001780986785888672,0.00018525123596191406,0.00016498565673828125
row_extra_quote10_col6.csv,0.00014901161193847656,0.00015401840209960938,0.00013375282287597656
row_extra_quote10_col7.csv,0.0001270771026611328,0.0001819133758544922,0.00014090538024902344
row_extra_quote10_col8.csv,0.00014495849609375,0.0002288818359375,0.00015687942504882812
row_extra_quote11_col0.csv,0.0001690387725830078,0.00014209747314453125,0.0001361370086669922
row_extra_quote11_col1.csv,0.0001499652862548828,0.00018286705017089844,0.000141143798828125
row_extra_quote11_col2.csv,0.00012683868408203125,0.00014591217041015625,0.0001659393310546875
row_extra_quote11_col3.csv,0.00014328956604003906,0.00012302398681640625,0.00014090538024902344
row_extra_quote11_col4.csv,0.0001289844512939453,0.0001590251922607422,0.00015020370483398438
row_extra_quote11_col5.csv,0.0001289844512939453,0.0001468658447265625,0.0001399517059326172
row_extra_quote11_col6.csv,0.00012803077697753906,0.00012421607971191406,0.00011181831359863281
row_extra_quote11_col7.csv,0.00013327598571777344,0.00012493133544921875,0.00019121170043945312
row_extra_quote11_col8.csv,0.00013303756713867188,0.0001461505889892578,0.00013589859008789062
row_extra_quote12_col0.csv,0.00012803077697753906,0.00011205673217773438,0.00013375282287597656
row_extra_quote12_col1.csv,0.00014495849609375,0.00019979476928710938,0.0001442432403564453
row_extra_quote12_col2.csv,0.00012493133544921875,0.00015211105346679688,0.00014901161193847656
row_extra_quote12_col3.csv,0.0001761913299560547,0.0001220703125,0.00015878677368164062
row_extra_quote12_col4.csv,0.0001628398895263672,0.00013518333435058594,0.0001361370086669922
row_extra_quote12_col5.csv,0.0001590251922607422,0.00019216537475585938,0.00011396408081054688
row_extra_quote12_col6.csv,0.00016021728515625,0.0001811981201171875,0.0001232624053955078
row_extra_quote12_col7.csv,0.00015592575073242188,0.0001499652862548828,0.0001609325408935547
row_extra_quote12_col8.csv,0.00012993812561035156,0.0001270771026611328,0.0002300739288330078
row_extra_quote13_col0.csv,0.00014209747314453125,0.00012493133544921875,0.0002601146697998047
row_extra_quote13_col1.csv,0.0003151893615722656,0.00017118453979492188,0.00016689300537109375
row_extra_quote13_col2.csv,0.00014519691467285156,0.00013685226440429688,0.0002009868621826172
row_extra_quote13_col3.csv,0.00015926361083984375,0.00015401840209960938,0.00013899803161621094
row_extra_quote13_col4.csv,0.00015163421630859375,0.00018978118896484375,0.00013709068298339844
row_extra_quote13_col5.csv,0.00015592575073242188,0.00017118453979492188,0.00015997886657714844
row_extra_quote13_col6.csv,0.00019407272338867188,0.00015783309936523438,0.0001480579376220703
row_extra_quote13_col7.csv,0.00015091896057128906,0.0001819133758544922,0.0001518726348876953
row_extra_quote13_col8.csv,0.00013017654418945312,0.00012803077697753906,0.0001678466796875
row_extra_quote14_col0.csv,0.00021505355834960938,0.0001220703125,0.0001049041748046875
row_extra_quote14_col1.csv,0.00016736984252929688,0.0001289844512939453,0.0001380443572998047
row_extra_quote14_col2.csv,0.00012683868408203125,0.0001609325408935547,0.0001728534698486328
row_extra_quote14_col3.csv,0.00012111663818359375,0.00019502639770507812,0.00014066696166992188
row_extra_quote14_col4.csv,0.0001850128173828125,0.00017499923706054688,0.00016117095947265625
row_extra_quote14_col5.csv,0.00013899803161621094,0.00015425682067871094,0.0001380443572998047
row_extra_quote14_col6.csv,0.00015497207641601562,0.0001862049102783203,0.0001838207244873047
row_extra_quote14_col7.csv,0.00019407272338867188,0.00015616416931152344,0.0002429485321044922
row_extra_quote14_col8.csv,0.00012302398681640625,0.0002231597900390625,0.00015401840209960938
row_extra_quote15_col0.csv,0.00015163421630859375,0.0001270771026611328,0.00015115737915039062
row_extra_quote15_col1.csv,0.0001628398895263672,0.00014090538024902344,0.00014591217041015625
