file,duckdbparse_success,duckdbparse_header_precision,duckdbparse_header_recall,duckdbparse_header_f1,duckdbparse_record_precision,duckdbparse_record_recall,duckdbparse_record_f1,duckdbparse_cell_precision,duckdbparse_cell_recall,duckdbparse_cell_f1
struct_two_delim_alt.csv,1,1.0,1.0,1.0,0.5060240963855421,0.5060240963855421,0.5060240963855421,0.5661375661375662,0.5661375661375662,0.5661375661375662
struct_two_delim_pipe.csv,1,1.0,1.0,1.0,0.5060240963855421,0.5060240963855421,0.5060240963855421,0.5661375661375662,0.5661375661375662,0.5661375661375662
struct_var_col_count_5_7.csv,1,1.0,1.0,1.0,0.5060240963855421,0.5060240963855421,0.5060240963855421,0.8915343915343915,0.8915343915343915,0.8915343915343915
struct_two_tables_no_sep.csv,1,1.0,1.0,1.0,1.0,0.49700598802395207,0.6639999999999999,1.0,0.5,0.6666666666666666
struct_two_tables_blank_diff_cols.csv,1,1.0,1.0,1.0,1.0,0.49700598802395207,0.6639999999999999,1.0,0.5,0.6666666666666666
struct_two_tables_overlap.csv,1,1.0,1.0,1.0,1.0,0.49700598802395207,0.6639999999999999,1.0,0.5,0.6666666666666666
struct_header_numeric.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
struct_midfile_header_lookalike.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
struct_reorder_cols_3_4.csv,1,1.0,1.0,1.0,0.8795180722891566,0.8795180722891566,0.8795180722891566,1.0,1.0,1.0
struct_header_extra_col.csv,1,0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.9011904761904762,0.9480275516593614
struct_empty_leading_col.csv,1,0.9,0.9,0.9,1.0,1.0,1.0,0.9988095238095238,0.9988095238095238,0.9988095238095238
struct_empty_trailing_col.csv,1,0.9,0.9,0.9,1.0,1.0,1.0,0.9988095238095238,0.9988095238095238,0.9988095238095238
struct_one_row_extra_col.csv,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9986789960369881,1.0,0.9993390614672836
struct_header_empty_first.csv,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,0.9986772486772487,0.9986772486772487,0.9986772486772487
struct_header_all_duplicates.csv,1,0.1111111111111111,1.0,0.19999999999999998,0.0,0.0,0.0,0.1111111111111111,1.0,0.19999999999999998
struct_single_col_with_commas.csv,1,1.0,1.0,1.0,0.0,0.0,0.0,0.12169312169312169,0.12026143790849673,0.12097304404996712
struct_empty_then_header.csv,1,1.0,1.0,1.0,1.0,0.9880952380952381,0.9940119760479043,1.0,0.9882352941176471,0.9940828402366864
struct_empty_middle.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
struct_three_empty_middle.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
struct_multiline_header_mismatch.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
