file,duckdbauto_success,duckdbauto_header_precision,duckdbauto_header_recall,duckdbauto_header_f1,duckdbauto_record_precision,duckdbauto_record_recall,duckdbauto_record_f1,duckdbauto_cell_precision,duckdbauto_cell_recall,duckdbauto_cell_f1
unicode_bom_plus_smart_quotes.csv,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.927710843373494,0.927710843373494,0.927710843373494,0.9907407407407407,0.9907407407407407,0.9907407407407407
unicode_bom_utf16be_in_utf8.csv,1,0.0,0.0,0.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9801587301587301,0.9801587301587301,0.9801587301587301
unicode_bom_utf16le_in_utf8.csv,1,0.0,0.0,0.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9801587301587301,0.9801587301587301,0.9801587301587301
unicode_bom_utf32be.csv,1,0.0,0.0,0.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9801587301587301,0.9801587301587301,0.9801587301587301
unicode_bom_utf8.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
unicode_bom_utf8_doubled.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
unicode_bom_with_embedded_nul.csv,1,1.0,1.0,1.0,0.9036144578313253,0.9036144578313253,0.9036144578313253,0.9880952380952381,0.9880952380952381,0.9880952380952381
unicode_bom_with_nel.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7711640211640212,0.43313521545319467,0.554709800190295
unicode_bom_with_ps.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.7711640211640212,0.43313521545319467,0.554709800190295
unicode_crlf_to_lf_with_bom.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
unicode_fffd_everywhere.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4894179894179894,0.4111111111111111,0.4468599033816425
