filename,pycsv_time_0,pycsv_time_1,pycsv_time_2
row_extra_quote80_col1.csv,0.0077991485595703125,0.004348039627075195,0.004458904266357422
row_less_sep_row57_col2.csv,0.0050144195556640625,0.004369497299194336,0.004054069519042969
row_extra_quote57_col2.csv,0.005049943923950195,0.00433659553527832,0.004237651824951172
row_extra_quote33_col5.csv,0.00528264045715332,0.0044384002685546875,0.004256010055541992
row_less_sep_row81_col5.csv,0.005265712738037109,0.004642963409423828,0.004698276519775391
row_less_sep_row2_col7.csv,0.005253314971923828,0.004725933074951172,0.004837512969970703
row_less_sep_row67_col4.csv,0.005544185638427734,0.004431247711181641,0.004263877868652344
row_less_sep_row21_col4.csv,0.004795074462890625,0.00493311882019043,0.0042743682861328125
row_more_sep_row17_col6.csv,0.004963397979736328,0.0044002532958984375,0.004554271697998047
row_less_sep_row56_col2.csv,0.004516124725341797,0.0046160221099853516,0.004116535186767578
row_more_sep_row57_col2.csv,0.005053281784057617,0.004704475402832031,0.004137277603149414
row_extra_quote14_col4.csv,0.005978584289550781,0.006781101226806641,0.006495952606201172
row_less_sep_row61_col6.csv,0.00562596321105957,0.004393815994262695,0.004319667816162109
row_extra_quote20_col6.csv,0.005949258804321289,0.004712581634521484,0.0044727325439453125
row_extra_quote74_col3.csv,0.0061664581298828125,0.004260063171386719,0.004122495651245117
row_extra_quote53_col7.csv,0.004778623580932617,0.004269838333129883,0.004334211349487305
row_less_sep_row34_col6.csv,0.005512237548828125,0.005218982696533203,0.004202842712402344
row_more_sep_row5_col3.csv,0.005494117736816406,0.004305362701416016,0.00432586669921875
row_more_sep_row10_col0.csv,0.005504131317138672,0.0042188167572021484,0.004471302032470703
row_less_sep_row2_col2.csv,0.005521535873413086,0.004524946212768555,0.0073354244232177734
row_more_sep_row61_col5.csv,0.005685329437255859,0.004269838333129883,0.0044765472412109375
row_extra_quote12_col5.csv,0.005802154541015625,0.00422978401184082,0.004869222640991211
row_less_sep_row47_col2.csv,0.005615234375,0.004518747329711914,0.004648447036743164
row_more_sep_row13_col2.csv,0.006158590316772461,0.004525184631347656,0.00433039665222168
row_extra_quote41_col1.csv,0.005148649215698242,0.004375457763671875,0.004401445388793945
row_more_sep_row37_col5.csv,0.006556510925292969,0.004401445388793945,0.004439115524291992
row_extra_quote58_col4.csv,0.005097627639770508,0.004496097564697266,0.004827022552490234
row_extra_quote6_col8.csv,0.005104541778564453,0.00442051887512207,0.004163026809692383
row_more_sep_row2_col4.csv,0.005636692047119141,0.004416942596435547,0.004171133041381836
row_more_sep_row76_col5.csv,0.0056018829345703125,0.004256725311279297,0.0041768550872802734
row_extra_quote75_col8.csv,0.005130767822265625,0.004292488098144531,0.004640817642211914
row_extra_quote16_col6.csv,0.004968166351318359,0.004095792770385742,0.00428462028503418
row_less_sep_row25_col7.csv,0.005052328109741211,0.00410008430480957,0.004622697830200195
row_extra_quote3_col1.csv,0.00561213493347168,0.004351377487182617,0.004414796829223633
row_less_sep_row44_col6.csv,0.0060040950775146484,0.004303693771362305,0.004381895065307617
row_more_sep_row8_col5.csv,0.005609989166259766,0.0042266845703125,0.004270315170288086
row_more_sep_row31_col8.csv,0.00524139404296875,0.004263877868652344,0.0042378902435302734
