sut,correct,wrong,accuracy,weighted_accuracy,score
llm_hybrid_parser_gpt_5_4_duckdb,2024,266,0.8838427947598253,0.8838427947598253,2024
duckdbauto,2,2288,0.0008733624454148472,0.0008733624454148472,2
llm_hybrid_parser_gpt_5_4_mini_duckdb,1626,664,0.7100436681222707,0.7100436681222707,1626
llm_hybrid_parser_gpt_5_4_clevercsv,2024,266,0.8838427947598253,0.8838427947598253,2024
llm_hybrid_parser_gpt_5_4_mini_clevercsv,1626,664,0.7100436681222707,0.7100436681222707,1626
duckdbauto_strict,176,2114,0.07685589519650655,0.07685589519650655,176
pycsv,4,2286,0.0017467248908296944,0.0017467248908296944,4
duckdbparse,199,2091,0.0868995633187773,0.0868995633187773,199
clevercs,11,2279,0.00480349344978166,0.00480349344978166,11
pandas,94,2196,0.04104803493449782,0.04104803493449782,94
