sut,success,headerprecision,headerrecall,headerf1,recordprecision,recordrecall,recordf1,cellprecision,cellrecall,cellf1,pollock_simple
clevercs,1.0,0.702625874472703,0.7163372697326081,0.7060665405321593,0.9933832224485438,0.948111756605472,0.960987520343062,0.973671227383732,0.9471791917407272,0.9501093125122926,8.8984719157713
pycsv,0.9896907216494846,0.680254795505804,0.680254795505804,0.680254795505804,0.911426473722185,0.8776043858568768,0.8804223265201512,0.8981654268688788,0.8699904268618377,0.8715082813558219,8.339572429352648
sqlite,1.0,0.6561135125464711,0.6697795058353169,0.6595427856719558,0.7596834887146736,0.7221027107932371,0.7318562990322477,0.9286911748882636,0.9223480846346628,0.9099171207834876,7.960034682900315
mysql,0.6804123711340206,0.6459934712520328,0.6417346423465791,0.6431623445785138,0.4858288832569583,0.4748686950760337,0.4790096420292755,0.5933574652631908,0.6546536602052256,0.5988576658797119,5.897878841021542
postgres,0.5463917525773195,0.5196560990104127,0.5196560990104127,0.5196560990104127,0.5430230919104576,0.5269168866156684,0.5331704292287197,0.5403284652743828,0.5261585413121674,0.5320546573553233,5.307012121305277
opencsv,0.9896907216494846,0.7858754154093798,0.7959212894779906,0.7869596749887182,0.9624272199698104,0.9329632283435294,0.9429992533176352,0.947094872064644,0.935260793583883,0.9355273624873665,9.014719831292442
univocity,0.9587628865979382,0.4014941051200458,0.4014941051200458,0.4014941051200458,0.6386939729023872,0.6019095751673124,0.6128204835966766,0.657382050059494,0.6198488996646122,0.6304708772857366,5.924371060634295
pandas,0.8865979381443299,0.4964686112318951,0.5101346045207411,0.4998978843573799,0.6592331450465536,0.6288937729475305,0.6344051872981645,0.6656631570757264,0.6586506516464297,0.6449864464912115,6.284931398759962
rcsv,0.979381443298969,0.2445001958186684,0.2445455977897277,0.2445115887526401,0.5432711721958231,0.510051688354599,0.5214234993148681,0.6020331971565753,0.5800779127398552,0.5823335652009312,5.052129860622657
csvcommons,0.4639175257731959,0.2594844810287546,0.2731958762886597,0.262925147088211,0.4416687871966528,0.4342905379173993,0.4373640084410212,0.4237104540117826,0.4301268848771057,0.4243070817042318,3.8509907843270152
