sut,correct,wrong,score_10,weighted_score_10,score
llm_hybrid_parser_gpt_5_4_mini_clevercsv,13,4,7.647058823529412,7.647058823529412,13
duckdbauto,2,15,1.1764705882352942,1.1764705882352942,2
llm_hybrid_parser_gpt_5_4_mini,9,8,5.294117647058823,5.294117647058823,9
llm_hybrid_parser_gpt_5_4_mini_duckdb,12,5,7.0588235294117645,7.0588235294117645,12
llm_hybrid_parser_gpt_5_4_duckdb,15,2,8.823529411764707,8.823529411764707,15
custom_gpt_5_4,15,2,8.823529411764707,8.823529411764707,15
custom_gpt_5_4_mini,13,4,7.647058823529412,7.647058823529412,13
llm_hybrid_parser_gpt_4o_duckdb,11,6,6.470588235294118,6.470588235294118,11
