sut,success,headerprecision,headerrecall,headerf1,recordprecision,recordrecall,recordf1,cellprecision,cellrecall,cellf1,pollock_simple
duckdbauto,0.9565217391304348,0.8091787439613526,0.7503503912208672,0.7631973024290042,0.5154531168150864,0.5361587994594037,0.5232510728074559,0.7943409247757075,0.792119859423076,0.7437300754695968,7.184302025491986
duckdbparse,1.0,1.0,1.0,1.0,0.608957569408067,0.6397201634381146,0.6203878453725435,0.7336956521739131,0.9710407570767324,0.7508617587830813,8.324663746252451
pandas,0.6956521739130435,0.6739130434782609,0.6167172728643109,0.6174720557609759,0.5031430068098481,0.5034111601686249,0.5032731238643208,0.6436047849091328,0.6638262677783964,0.6480511396294041,6.069064029176317
pycsv,0.7391304347826086,0.7222222222222223,0.6650253013948022,0.6657789943486041,0.5293347302252487,0.5122114012774976,0.5154822501878054,0.6968023924545663,0.706376335885642,0.7009893229429377,6.453353385721935
