sut,success,header_precision,header_recall,header_f1,record_precision,record_recall,record_f1,cell_precision,cell_recall,cell_f1,pollock_simple,correct,wrong,accuracy,weighted_accuracy,pollock_weighted,score
llm_hybrid_parser_gpt_5_6_luna,1.0,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9361024905858973,0.9658724854440249,0.9406459004246576,0.9543744064874021,0.997577067891487,0.9596519240639503,9.710746014027855,51,18,0.7391304347826086,0.7391304347826086,9.710746014027853,51
code_generation_llm_gpt_5_4_mini,0.9710144927536232,0.7761674718196456,0.7699260481869178,0.7723508926026089,0.8613687731072873,0.8636322835445319,0.8624572321492215,0.8822509521413022,0.884859523599529,0.8826901706825322,8.5267178405872,29,40,0.42028985507246375,0.42028985507246375,8.5267178405872,29
llm_hybrid_parser_qwen3_5_0_8b,1.0,0.7439613526570049,0.8405797101449275,0.7766986636551855,0.6420546636674576,0.6516561661780301,0.6466794254780923,0.6647881664719392,0.8340144433576876,0.6754918464985403,7.475924438108865,19,50,0.2753623188405797,0.2753623188405797,7.475924438108865,19
llm_hybrid_parser_qwen3_5_0_8b_duckdb,1.0,0.7874396135265701,0.8840579710144928,0.8201769245247507,0.6825645292166107,0.6936030576560384,0.6874518511789379,0.702112758144357,0.8700298618969662,0.7116938021061792,7.839130369264903,22,47,0.3188405797101449,0.3188405797101449,7.839130369264902,22
full_llm_loader_naive_gpt_5_6_sol,0.9855072463768116,0.9276666666666666,0.9420289855072463,0.9277947745651456,0.9671833357055061,0.968046097433211,0.967610053703817,0.9540447791774561,0.9703435319377349,0.9551012097160843,9.56532668078968,51,18,0.7391304347826086,0.7391304347826086,9.56532668078968,51
code_generation_llm_qwen3_5_0_8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69,0.0,0.0,0.0,0
llm_hybrid_parser_gpt_5_6_sol_duckdb,0.9855072463768116,0.9710144927536232,0.9710144927536232,0.9710144927536232,0.9811522548603865,0.9821306966998428,0.9816346511681749,0.984471766333197,0.9849449173120671,0.9847033396105052,9.797588350621854,57,12,0.8260869565217391,0.8260869565217391,9.797588350621856,57
pycsv,0.9420289855072463,0.8357487922705313,0.8268971104509857,0.8131704540479006,0.8568527532464018,0.8508719724777649,0.8537838131040822,0.9319205406232286,0.9000742422178718,0.9040898126194213,8.715438476565435,7,62,0.10144927536231885,0.10144927536231885,8.715438476565433,7
duckdbauto,1.0,0.750402576489533,0.7259332454984629,0.7360938578329883,0.7690381929856953,0.7636323519369179,0.7662737050291129,0.8831932085420996,0.8522192436100979,0.8649870661390661,8.111773448063975,3,66,0.043478260869565216,0.043478260869565216,8.111773448063973,3
pandas,0.9855072463768116,0.7632850241545893,0.782608695652174,0.7681159420289855,0.779825207540673,0.7924371761414057,0.7811096982606227,0.7956073268931485,0.833685610434961,0.7974164910204997,8.07959841850387,24,45,0.34782608695652173,0.34782608695652173,8.079598418503872,24
