sut,success,header_precision,header_recall,header_f1,record_precision,record_recall,record_f1,cell_precision,cell_recall,cell_f1,pollock_simple,correct,wrong,accuracy,weighted_accuracy,pollock_weighted,score
llm_hybrid_parser_gpt_5_6_sol,1.0,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9945973395469587,0.995575781386415,0.9950797358547472,0.9987920124992111,0.999265138154027,0.9990235731228609,9.938855319694655,57,12,0.8260869565217391,0.8260869565217391,9.938855319694655,57
llm_hybrid_parser_gpt_5_4_mini,0.9420289855072463,0.927536231884058,0.927536231884058,0.927536231884058,0.9046724224874164,0.9087116392531014,0.9063630028859411,0.9198295096236648,0.9238154499859274,0.9214548018622815,9.209484507257752,44,25,0.6376811594202898,0.6376811594202898,9.209484507257752,44
llm_hybrid_parser_gpt_5_4_mini_duckdb,1.0,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9326102607971772,0.9365480509382513,0.9342450116132973,0.9786248220804558,0.9825192595754859,0.9801978912262245,9.701267035361328,45,24,0.6521739130434783,0.6521739130434783,9.701267035361326,45
full_llm_loader_naive_qwen3_4_0_8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,69,0.0,0.0,0.0,0
full_llm_loader_naive_gpt_5_4_mini,0.5362318840579711,0.4927536231884058,0.4927536231884058,0.4927536231884058,0.53432145339365,0.5348473665701656,0.5345817769137924,0.5265117690179584,0.5355154966903812,0.5290290853165512,5.209299701525687,26,43,0.37681159420289856,0.37681159420289856,5.209299701525688,26
clevercs,1.0,0.8099838969404187,0.8293075684380032,0.8148148148148148,0.8391931139489147,0.832745363264626,0.8358845563012024,0.9089406985286561,0.896226484303702,0.902064520127607,8.669161016667944,38,31,0.5507246376811594,0.5507246376811594,8.669161016667944,38
code_generation_llm_gpt_5_6_luna,0.7971014492753623,0.7681159420289855,0.7681159420289855,0.7681159420289855,0.768822604997997,0.7700469641322567,0.7693948440527704,0.7804997795993547,0.7817889497108809,0.7810786157705206,7.753081033626099,34,35,0.4927536231884058,0.4927536231884058,7.7530810336261,34
duckdbparse,1.0,0.9565217391304348,0.9528985507246377,0.9544513457556937,0.8669460450497644,0.8649078941170761,0.865913917185006,0.9405085232156241,0.9619270876417699,0.9467820810765315,9.310857183896537,30,39,0.43478260869565216,0.43478260869565216,9.310857183896537,30
code_generation_llm_gpt_5_6_sol,0.6811594202898551,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6775028747311741,0.677336240817669,0.6774119950567112,0.68039234989665,0.6796628140955977,0.6800223458157486,6.7100097798338405,31,38,0.4492753623188406,0.4492753623188406,6.7100097798338405,31
llm_hybrid_parser_gpt_5_6_luna_duckdb,1.0,0.9855072463768116,0.9855072463768116,0.9855072463768116,0.9767869676244864,0.9812032263301872,0.978630155190131,0.993251793190876,0.9976499845315437,0.9950461576231316,9.87909002362079,56,13,0.8115942028985508,0.8115942028985508,9.87909002362079,56
