file,clevercs_success,clevercs_header_precision,clevercs_header_recall,clevercs_header_f1,clevercs_record_precision,clevercs_record_recall,clevercs_record_f1,clevercs_cell_precision,clevercs_cell_recall,clevercs_cell_f1
unicode_bom_plus_smart_quotes.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf16be_in_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf16le_in_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf32be.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf8_doubled.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_with_embedded_nul.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_with_nel.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_with_ps.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_crlf_to_lf_with_bom.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_fffd_everywhere.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_ideographic_space_delim.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unicode_invalid_utf8_bytes.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_invalid_utf8_in_quoted_field.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_lone_surrogate.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_ls_no_terminator.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_mixed_header_utf16_body_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_mixed_line_endings.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_mixed_smart_ascii_quotes.csv,1,1.0,1.0,1.0,0.4939759036144578,0.4939759036144578,0.4939759036144578,0.8703703703703703,0.7852028639618138,0.8255959849435383
unicode_multiple_boms_scattered.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_nbsp_field_delim.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unicode_overlong_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_record_delim_ls.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_record_delim_nel.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_record_delim_ps.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_rlm_lrm_marks.csv,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
unicode_smart_double_quotes.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7354497354497355,0.6056644880174292,0.6642771804062128
unicode_smart_quotes_invalid_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_smart_single_quotes.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7354497354497355,0.6056644880174292,0.6642771804062128
unicode_utf16be_file.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unicode_utf16le_file.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unicode_zwsp_around_every_delim.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quote_cascading_unclosed.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7314814814814815,0.6023965141612201,0.6606929510155317
quote_char_apostrophe.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7354497354497355,0.6056644880174292,0.6642771804062128
quote_char_backtick.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
quote_char_caret.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7354497354497355,0.6056644880174292,0.6642771804062128
quote_char_dollar.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7354497354497355,0.6056644880174292,0.6642771804062128
quote_char_hash.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7354497354497355,0.6056644880174292,0.6642771804062128
quote_char_pipe.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7354497354497355,0.6056644880174292,0.6642771804062128
quote_char_section.csv,1,0.6666666666666666,0.8571428571428571,0.75,0.0,0.0,0.0,0.6243386243386243,0.6573816155988857,0.6404341926729986
quote_char_tilde.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9920634920634921,0.9920634920634921
quote_close_then_garbage_many.csv,1,1.0,1.0,1.0,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.8809523809523809,0.8593548387096774,0.8700195950359242
quote_decl_backslash_use_doubled.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
quote_doubled_chain_many.csv,1,1.0,1.0,1.0,0.7228915662650602,0.9523809523809523,0.8219178082191781,0.746031746031746,0.9494949494949495,0.8355555555555556
quote_empty_quoted_many.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7103174603174603,0.5849673202614379,0.6415770609318997
quote_eof_open_long.csv,1,1.0,1.0,1.0,0.8313253012048193,0.9857142857142858,0.9019607843137254,0.8346560846560847,0.9648318042813455,0.8950354609929078
quote_eof_quote_then_data.csv,1,1.0,1.0,1.0,1.0,0.9880952380952381,0.9940119760479043,1.0,0.9986789960369881,0.9993390614672836
quote_eof_unclosed_ws.csv,1,1.0,1.0,1.0,1.0,0.9880952380952381,0.9940119760479043,1.0,0.9986789960369881,0.9993390614672836
quote_esc_before_delim.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7328042328042328,0.600216684723727,0.6599166170339489
quote_every_field_triple_many.csv,1,1.0,1.0,1.0,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.8809523809523809,0.8660598179453837,0.8734426229508195
quote_in_header_only.csv,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.7341269841269841,0.6045751633986928,0.6630824372759857
quote_inside_unquoted_many.csv,1,1.0,1.0,1.0,0.8072289156626506,0.9436619718309859,0.8701298701298701,0.8518518518518519,0.9569093610698366,0.9013296011196642
quote_interlocked_pairs.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7222222222222222,0.5947712418300654,0.6523297491039427
quote_open5_close80.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7341269841269841,0.6045751633986928,0.6630824372759857
quote_open_header_close_data.csv,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9879518072289156,1.0,0.993939393939394,0.9867724867724867,0.998661311914324,0.9926813040585496
quote_open_header_close_row5.csv,1,0.8888888888888888,0.5,0.64,0.9397590361445783,1.0,0.9689440993788819,0.9404761904761905,0.9902506963788301,0.9647218453188603
quote_ragged_opens.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7208994708994709,0.593681917211329,0.6511350059737158
quote_storm.csv,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7037037037037037,0.579520697167756,0.6356033452807647
quote_unquoted_with_quoted_comma.csv,1,1.0,1.0,1.0,0.7228915662650602,0.9523809523809523,0.8219178082191781,0.7579365079365079,0.9182692307692307,0.8304347826086955
quote_unterminated_open5_close50.csv,1,1.0,1.0,1.0,0.4457831325301205,0.9736842105263158,0.6115702479338843,0.455026455026455,0.7730337078651686,0.5728559533721899
typeinfer_comments_all_unquoted_two_values.csv,1,1.0,1.0,1.0,0.0,0.0,0.0,0.8902116402116402,0.8021454112038141,0.8438871473354231
typeinfer_date_2digit_4digit.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
typeinfer_date_excel_serials.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
typeinfer_date_iso_timestamps.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
typeinfer_desc_all_currency_prefix.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9986772486772487,0.9986772486772487,0.9986772486772487
typeinfer_late_rows_extra_cell.csv,1,1.0,1.0,1.0,0.9397590361445783,0.9397590361445783,0.9397590361445783,0.9933862433862434,0.9868593955321945,0.9901120632827951
typeinfer_mega_late_currency_overflow_eu.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
typeinfer_multi_column_late_anomaly.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
typeinfer_price_all_no_dollar.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
typeinfer_price_all_unquoted_eu.csv,1,1.0,1.0,1.0,0.0,0.0,0.0,0.8902116402116402,0.8021454112038141,0.8438871473354231
typeinfer_price_currency_chaos.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
