file,duckdbauto_success,duckdbauto_header_precision,duckdbauto_header_recall,duckdbauto_header_f1,duckdbauto_record_precision,duckdbauto_record_recall,duckdbauto_record_f1,duckdbauto_cell_precision,duckdbauto_cell_recall,duckdbauto_cell_f1
ministry-of-defence__30-09-2012__mod_300912-Air-Govt-data-template-u-senior.csv,1,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,1.0,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315
Resultsgk06.datInfos.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S30out.csv,1,0.0,0.0,0.0,1.0,0.9966996699669967,0.9983471074380166,1.0,0.9963421927879565,0.9981677453768909
ResultsOR30x250-0.25_7.dat.csv,1,0.02112676056338028,0.021052631578947368,0.0210896309314587,0.0,0.0,0.0,0.9670353041259039,0.9669324827219564,0.9669838906906268
Camp Palacios - Humidity.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6666466056812711,0.6666466056812711,0.6666466056812711
permanent_secretary_and_director_general_expenses_and_hospitality_april_to_june_2012.csv,1,0.0,0.0,0.0,0.8956521739130435,0.5988372093023255,0.7177700348432056,0.969785575048733,0.6390494540783558,0.7704219899341851
prison-and-probation-ombudsman__30-09-2014__justice_PPO-September-Return-senior.csv,1,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,1.0,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315
NBA_scores_out.csv,1,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9916897506925207,0.9916897506925207,0.9916897506925207
ResultsOR30x250-0.75_3.dat.csv,1,0.02112676056338028,0.021052631578947368,0.0210896309314587,0.0,0.0,0.0,0.9668226286686517,0.9667198298777246,0.966771226540486
over25k-transparency.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_3.dat.csv,1,0.04477611940298507,0.044444444444444446,0.04460966542750929,1.0,1.0,1.0,0.9712617871576111,0.971043771043771,0.971152766864968
ResultsOR30x100-0.50_1.dat__m21.csv,1,0.048,0.047619047619047616,0.047808764940239036,1.0,1.0,1.0,0.9606351306649025,0.9603174603174603,0.9604762692244089
Oct_2013.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Wind Direction.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.6666628205719912,0.6666628205719912,0.6666628205719912
Auto_Tone_sub205_over.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,0.9119217081850534,0.9119217081850534,0.9119217081850534
moj-aramis-data-march-11.csv,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.9998361730013107,0.9998361730013107,0.9998361730013107
senior-staff-march-2020.csv,1,1.0,1.0,1.0,0.08943089430894309,0.08943089430894309,0.08943089430894309,0.9468690702087287,0.9468690702087287,0.9468690702087287
SouthTrent_Demand_zone-based.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
spending_2020_01.csv,1,1.0,1.0,1.0,3.911138923654568e-05,3.911138923654568e-05,3.911138923654568e-05,0.8315147248621377,0.8315147248621377,0.8315147248621377
