file,code_generation_llm_gpt_5_4_mini_metric_ground_truth,code_generation_llm_gpt_5_4_mini_strict_ground_truth,code_generation_llm_gpt_5_4_mini_matched_ground_truth,code_generation_llm_gpt_5_4_mini_correct,code_generation_llm_gpt_5_4_mini_wrong,code_generation_llm_gpt_5_4_mini_evaluation_error,code_generation_llm_gpt_5_4_mini_success,code_generation_llm_gpt_5_4_mini_header_precision,code_generation_llm_gpt_5_4_mini_header_recall,code_generation_llm_gpt_5_4_mini_header_f1,code_generation_llm_gpt_5_4_mini_record_precision,code_generation_llm_gpt_5_4_mini_record_recall,code_generation_llm_gpt_5_4_mini_record_f1,code_generation_llm_gpt_5_4_mini_cell_precision,code_generation_llm_gpt_5_4_mini_cell_recall,code_generation_llm_gpt_5_4_mini_cell_f1
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.996031746031746,0.996031746031746,0.996031746031746
combo__move_header_row5__preamble_2_raw_empty_row.csv,canonical,canonical,canonical,1,0,,1,0.0,0.0,0.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,1.0,1.0,1.0
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.9397590361445783,0.9512195121951219,0.9454545454545454,0.9365079365079365,0.9477911646586346,0.9421157684630739
combo__multiline_header_rows_3__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.0,0.0,0.0,1.0,1.0,1.0,0.9880952380952381,0.9880952380952381,0.9880952380952381
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9947089947089947,0.9947089947089947,0.9947089947089947
combo__row_quotation_mark_2_0x27__mixed_delimiters_within_row_row_2_range_3_0x3B.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9920634920634921,0.9920634920634921,0.9920634920634921
file_commented_row_41.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_commented_row_49.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_commented_row_56.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_escaping_backslash_row_3_col_7.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.996031746031746,0.996031746031746,0.996031746031746
file_double_escaping_double_quote_row_2_col_7.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_trailing_newline.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_embedded_json_cell_2_1_len_4.csv,canonical,,,0,1,,1,0.0,0.0,0.0,0.9879518072289156,1.0,0.993939393939394,0.9880478087649402,0.9959839357429718,0.992
file_escape_char_0x00.csv,canonical,,,0,1,,1,1.0,0.8181818181818182,0.9,0.927710843373494,0.927710843373494,0.927710843373494,0.9880952380952381,0.8084415584415584,0.8892857142857142
file_escape_char_0x5C.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9828042328042328,0.9828042328042328,0.9828042328042328
