filename,pollution,model,time_0,uncached_input_tokens_0,cached_input_tokens_0,completion_tokens_0
file_no_payload.csv,Empty file (0 bytes),gpt-5.4-mini,0.9576904773712158,446.0,0.0,44.0
file_header_only.csv,"Header row only, no data",gpt-5.4-mini,1.1434473991394043,467.0,0.0,73.0
file_superheader_sparse_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,Unknown,gpt-5.4-mini,24.638732194900513,6487.0,0.0,6154.0
file_num_rows_50000_repeat_file.csv,Unknown,gpt-5.4-mini,2.9673449993133545,,,
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,Unknown,gpt-5.4-mini,26.30770444869995,6502.0,0.0,6137.0
file_escape_char_0x00.csv,Non-standard escape character (0x00),gpt-5.4-mini,70.85182499885559,,,
file_record_delimiter_0xD.csv,Non-standard record delimiter (0xD),gpt-5.4-mini,24.26039171218872,590.0,5888.0,6108.0
file_unquoted_lists_row_9_col_6.csv,Unknown,gpt-5.4-mini,30.068357944488525,6487.0,0.0,6209.0
file_mixed_delimiters_within_row_row_13_range_3_0x3B.csv,Unknown,gpt-5.4-mini,25.83014464378357,6478.0,0.0,6326.0
file_excel_formulas.csv,Unknown,gpt-5.4-mini,23.80431842803955,622.0,5888.0,6147.0
file_record_delimiter_0xA.csv,Non-standard record delimiter (0xA),gpt-5.4-mini,24.41179347038269,590.0,5888.0,6105.0
file_superheader_whitespace_aligned_columns_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,Unknown,gpt-5.4-mini,26.50105929374695,6696.0,0.0,6158.0
file_whitespace_delimiter_cells_quoted_padded.csv,Unknown,gpt-5.4-mini,27.2993643283844,7371.0,0.0,6256.0
file_no_header.csv,No header row,gpt-5.4-mini,25.689454793930054,6457.0,0.0,6075.0
row_quotation_mark_12_0x27.csv,Unknown,gpt-5.4-mini,26.120479106903076,6481.0,0.0,6162.0
file_whitespace_delimiter_cells_quoted_empty_last_column_padded.csv,Unknown,gpt-5.4-mini,25.89528727531433,7371.0,0.0,6345.0
