file,llm_hybrid_parser_qwen3_5_0_8b_duckdb_metric_ground_truth,llm_hybrid_parser_qwen3_5_0_8b_duckdb_strict_ground_truth,llm_hybrid_parser_qwen3_5_0_8b_duckdb_matched_ground_truth,llm_hybrid_parser_qwen3_5_0_8b_duckdb_correct,llm_hybrid_parser_qwen3_5_0_8b_duckdb_wrong,llm_hybrid_parser_qwen3_5_0_8b_duckdb_evaluation_error,llm_hybrid_parser_qwen3_5_0_8b_duckdb_success,llm_hybrid_parser_qwen3_5_0_8b_duckdb_header_precision,llm_hybrid_parser_qwen3_5_0_8b_duckdb_header_recall,llm_hybrid_parser_qwen3_5_0_8b_duckdb_header_f1,llm_hybrid_parser_qwen3_5_0_8b_duckdb_record_precision,llm_hybrid_parser_qwen3_5_0_8b_duckdb_record_recall,llm_hybrid_parser_qwen3_5_0_8b_duckdb_record_f1,llm_hybrid_parser_qwen3_5_0_8b_duckdb_cell_precision,llm_hybrid_parser_qwen3_5_0_8b_duckdb_cell_recall,llm_hybrid_parser_qwen3_5_0_8b_duckdb_cell_f1
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
combo__move_header_row5__preamble_2_raw_empty_row.csv,canonical,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
combo__multiline_header_rows_3__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,0.011904761904761904,1.0,0.023529411764705882
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.3333333333333333,1.0,0.5,0.0,0.0,0.0,0.011904761904761904,1.0,0.023529411764705882
combo__row_quotation_mark_2_0x27__mixed_delimiters_within_row_row_2_range_3_0x3B.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
file_commented_row_41.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_commented_row_49.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_commented_row_56.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_escaping_backslash_row_3_col_7.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,1.0,0.993939393939394,0.9880952380952381,1.0,0.9940119760479043
