filename,llm_hybrid_parser_gpt_5_4_mini_duckdb_special_prompt_time_0
file_escape_char_0x00.csv,3.8535313606262207
file_escape_char_0x5C.csv,0.09494757652282715
file_field_delimiter_0x20.csv,22.130573272705078
file_field_delimiter_0x2C_0x20.csv,30.155145168304443
file_field_delimiter_0x3B.csv,2.1470232009887695
file_field_delimiter_0x9.csv,1.8779094219207764
file_header_multirow_3.csv,1.490473747253418
file_quotation_char_0x27.csv,34.38539433479309
row_extra_quote3_col0.csv,11.864903450012207
row_extra_quote3_col5.csv,2.7251014709472656
row_field_delimiter_34_0x20.csv,1.4475011825561523
row_field_delimiter_3_0x20.csv,2.3457014560699463
row_less_sep_row3_col1.csv,2.3845465183258057
row_less_sep_row3_col2.csv,2.8804214000701904
row_less_sep_row4_col4.csv,3.2611613273620605
row_more_sep_row19_col4.csv,3.921884536743164
row_more_sep_row3_col0.csv,5.323348760604858
