filename,llm_hybrid_parser_gpt_5_4_clevercsv_special_prompt_time_0
file_escape_char_0x00.csv,0.15282344818115234
file_escape_char_0x5C.csv,0.09308528900146484
file_field_delimiter_0x20.csv,0.16445279121398926
file_field_delimiter_0x2C_0x20.csv,0.0949561595916748
file_field_delimiter_0x3B.csv,0.09523797035217285
file_field_delimiter_0x9.csv,0.09513115882873535
file_header_multirow_3.csv,0.090118408203125
file_quotation_char_0x27.csv,0.1466999053955078
row_extra_quote0_col2.csv,0.12018942832946777
row_extra_quote36_col3.csv,0.15076160430908203
row_extra_quote3_col0.csv,0.14375925064086914
row_extra_quote3_col5.csv,0.14576339721679688
row_field_delimiter_34_0x20.csv,0.136932373046875
row_field_delimiter_3_0x20.csv,0.14591431617736816
row_less_sep_row0_col2.csv,0.13729333877563477
row_less_sep_row3_col1.csv,0.13837981224060059
row_less_sep_row3_col2.csv,0.1356644630432129
row_less_sep_row4_col4.csv,0.5286393165588379
row_more_sep_row0_col4.csv,0.091949462890625
row_more_sep_row19_col4.csv,0.1379401683807373
row_more_sep_row25_col5.csv,0.13628005981445312
row_more_sep_row33_col5.csv,0.13870859146118164
row_more_sep_row3_col0.csv,0.1302945613861084
