x,Load,Objective Value,Valid?,ReturnCode,CompTime
Org,0,1,0,0,1
Org_kmax_kmin,0,1,0,0,1
Dim.  1,1,1,0,0,0
Dim.  2,0,1,0,0,0
Dim.  3,0,1,0,0,0
Dim.  4,0,0,0,0,0
Dim.  5,0,1,0,0,0
Dim.  6,0,0,0,0,0
Dim.  7,0,0,0,0,0
Dim.  8,0,1,0,0,0
Dim.  9,0,0,0,0,0
Dim.  10,0,1,0,0,0
Dim.  11,0,1,0,0,0
Dim.  12,0,1,0,0,0
Dim.  13,0,1,0,0,0
Dim.  14,0,1,0,0,0
Dim.  15,0,1,0,0,0
Dim.  16,0,1,0,0,1
Dim.  17,0,1,0,0,0
Dim.  18,0,1,0,0,0
Dim.  19,0,1,0,0,0
Dim.  20,0,1,0,1,0
Dim.  21,0,0,0,0,0
Dim.  22,0,1,0,0,0
Dim.  23,0,1,0,0,0
Dim.  24,0,1,0,0,0
Dim.  25,0,1,0,0,0
Dim.  26,0,1,0,0,1
Dim.  27,0,0,0,0,0
Dim.  28,0,1,0,0,1
