filename,duckdbauto_strict_time_0,duckdbauto_strict_time_1,duckdbauto_strict_time_2
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,0.007990837097167969,0.0058650970458984375,0.005159854888916016
combo__move_header_row5__preamble_2_raw_empty_row.csv,0.005629777908325195,0.008873462677001953,0.006211519241333008
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,0.009585857391357422,0.006333589553833008,0.005867958068847656
combo__multiline_header_rows_3__footnote_2_blank_line.csv,0.0069561004638671875,0.0051441192626953125,0.007400989532470703
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,0.007226705551147461,0.0049877166748046875,0.008177518844604492
combo__row_quotation_mark_2_0x27__mixed_delimiters_within_row_row_2_range_3_0x3B.csv,0.007947444915771484,0.005419015884399414,0.005864143371582031
file_commented_row_41.csv,0.007549285888671875,0.008701562881469727,0.006845235824584961
file_commented_row_49.csv,0.0070803165435791016,0.008641481399536133,0.009920358657836914
file_commented_row_56.csv,0.009312629699707031,0.007021188735961914,0.006275653839111328
file_double_escaping_backslash_row_3_col_7.csv,0.006866931915283203,0.0049419403076171875,0.008685588836669922
file_double_escaping_double_quote_row_2_col_7.csv,0.0066297054290771484,0.006833314895629883,0.005422830581665039
file_double_trailing_newline.csv,0.00751042366027832,0.005375862121582031,0.005704402923583984
file_embedded_json_cell_2_1_len_4.csv,0.006954669952392578,0.007391691207885742,0.00878596305847168
file_escape_char_0x00.csv,0.007401943206787109,0.005486488342285156,0.0060558319091796875
file_escape_char_0x5C.csv,0.006813526153564453,0.011278152465820312,0.005465269088745117
file_excel_formulas.csv,0.0061304569244384766,0.007269620895385742,0.005984783172607422
file_extremely_long_field_row_3_col_6_len_10000.csv,0.007747173309326172,0.010026931762695312,0.006249427795410156
file_field_delimiter_0x20.csv,0.00640869140625,0.008391618728637695,0.005524158477783203
file_field_delimiter_0x2C_0x20.csv,0.010018587112426758,0.007718086242675781,0.010717630386352539
file_field_delimiter_0x3B.csv,0.022968530654907227,0.0057909488677978516,0.005780696868896484
file_field_delimiter_0x9.csv,0.009625673294067383,0.0066089630126953125,0.006879568099975586
file_footnote_1.csv,0.008264780044555664,0.0054814815521240234,0.00577092170715332
file_footnote_3.csv,0.006183147430419922,0.007718324661254883,0.0055391788482666016
file_footnote_3_blank_line.csv,0.00819540023803711,0.005756378173828125,0.005726337432861328
file_header_multirow_2.csv,0.006373882293701172,0.007732391357421875,0.005192756652832031
file_header_multirow_3.csv,0.005814075469970703,0.005887746810913086,0.007601499557495117
file_header_only.csv,0.0061511993408203125,0.007482767105102539,0.0063631534576416016
file_less_columns_deleted_value_row_26_col_5.csv,0.006491422653198242,0.0050830841064453125,0.0050656795501708984
file_less_columns_deleted_value_row_40_col_1.csv,0.008154630661010742,0.00574493408203125,0.005765676498413086
file_less_columns_deleted_value_row_45_col_7.csv,0.006823062896728516,0.0056231021881103516,0.01018977165222168
file_less_columns_deleted_value_row_57_col_1.csv,0.009244203567504883,0.005870342254638672,0.005675315856933594
file_less_columns_deleted_value_row_70_col_3.csv,0.006709098815917969,0.006840229034423828,0.007745504379272461
file_mixed_delimiters_whole_row_row_13_0x3B.csv,0.005672454833984375,0.007592916488647461,0.0057525634765625
file_mixed_delimiters_within_row_row_13_range_1_0x3B.csv,0.006331920623779297,0.007535219192504883,0.0057222843170166016
file_mixed_delimiters_within_row_row_13_range_3_0x3B.csv,0.008617877960205078,0.0051860809326171875,0.005226612091064453
file_mixed_time_formats_day_month_year.csv,0.0056917667388916016,0.0050852298736572266,0.008006095886230469
file_mixed_time_formats_iso_8601.csv,0.008614301681518555,0.004914045333862305,0.005466938018798828
file_mixed_time_formats_long_month_name.csv,0.007458209991455078,0.005987405776977539,0.006592273712158203
file_mixed_time_formats_long_month_name_unquoted.csv,0.009099006652832031,0.0053102970123291016,0.00593113899230957
file_mixed_time_formats_month_day_year.csv,0.006711006164550781,0.00500941276550293,0.008294343948364258
file_more_columns_row_34_col_1.csv,0.006222963333129883,0.005631923675537109,0.005246400833129883
file_more_columns_row_39_col_8.csv,0.006525993347167969,0.00637054443359375,0.009897708892822266
file_more_columns_row_72_col_5.csv,0.0062007904052734375,0.0063517093658447266,0.007340431213378906
file_more_columns_row_79_col_7.csv,0.005869388580322266,0.008546590805053711,0.0050182342529296875
file_more_columns_row_9_col_6.csv,0.007135152816772461,0.005556344985961914,0.0054607391357421875
file_move_header_row8.csv,0.0064258575439453125,0.005244255065917969,0.00916147232055664
file_multiline_header_rows_3.csv,0.005313396453857422,0.0070455074310302734,0.005959987640380859
file_no_header.csv,0.005827665328979492,0.005583524703979492,0.004962921142578125
file_no_payload.csv,0.00887155532836914,0.005027294158935547,0.00474095344543457
file_no_trailing_newline.csv,0.005327463150024414,0.005123138427734375,0.005593299865722656
file_num_columns_1000.csv,0.049005985260009766,0.04688215255737305,0.04397177696228027
file_num_columns_pad_randints_1000.csv,0.07434225082397461,0.06541275978088379,0.0603022575378418
file_num_rows_50000_repeat_file.csv,0.058233022689819336,0.06572318077087402,0.07414031028747559
file_one_data_row.csv,0.005717039108276367,0.004722118377685547,0.006892681121826172
file_preamble.csv,0.0073719024658203125,0.006748199462890625,0.00937509536743164
file_quotation_char_0x27.csv,0.006597280502319336,0.005143404006958008,0.005029916763305664
file_quotation_char_none.csv,0.006617307662963867,0.007647514343261719,0.005693197250366211
file_record_delimiter_0xA.csv,0.0077168941497802734,0.006323814392089844,0.005652666091918945
file_record_delimiter_0xD.csv,0.006021976470947266,0.005562782287597656,0.005578756332397461
file_superheader_sparse_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,0.012032032012939453,0.005281925201416016,0.005789756774902344
file_superheader_whitespace_aligned_columns_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,0.006127357482910156,0.005686283111572266,0.010204553604125977
file_unescaped_multiline_string_row_2_col_7.csv,0.0041620731353759766,0.006087303161621094,0.004309892654418945
file_unquoted_lists_row_9_col_6.csv,0.007752180099487305,0.005303382873535156,0.005368947982788086
file_whitespace_delimiter_cells_quoted_empty_last_column_padded.csv,0.005822658538818359,0.007624626159667969,0.005196094512939453
file_whitespace_delimiter_cells_quoted_padded.csv,0.006386756896972656,0.004773855209350586,0.004756927490234375
file_whitespace_delimiter_cells_quoted_unpadded.csv,0.006621599197387695,0.005244016647338867,0.004866361618041992
file_whitespace_delimiter_cells_unquoted_padded.csv,0.006694316864013672,0.005290508270263672,0.009369850158691406
row_quotation_mark_12_0x27.csv,0.007779598236083984,0.005177974700927734,0.005515336990356445
source.csv,0.01692342758178711,0.00820159912109375,0.012500524520874023
