filename,model,time_0,llm_calls_0,local_cache_hits_0,uncached_input_tokens_0,cached_input_tokens_0,completion_tokens_0,total_tokens_0,input_cost_usd_0,cached_input_cost_usd_0,output_cost_usd_0,estimated_api_cost_usd_0,billable_cost_usd_0,success_0,error_0
file_less_columns_deleted_value_row_26_col_5.csv,qwen3.5:0.8b,11.6415082141757,2,0,2610,0,176,2786,,,,,,True,
file_commented_row_41.csv,qwen3.5:0.8b,3.1000405326485634,1,0,1114,0,78,1192,,,,,,True,
file_unescaped_multiline_string_row_2_col_7.csv,qwen3.5:0.8b,24.74190958589316,2,0,3076,0,837,3913,,,,,,True,
file_less_columns_deleted_value_row_57_col_1.csv,qwen3.5:0.8b,6.371664434671402,2,0,2610,0,156,2766,,,,,,True,
file_field_delimiter_0x20.csv,qwen3.5:0.8b,42.16334880143404,2,0,3156,0,1580,4736,,,,,,True,
file_escape_char_0x5C.csv,qwen3.5:0.8b,7.972363837063312,2,0,3559,0,157,3716,,,,,,True,
file_field_delimiter_0x9.csv,qwen3.5:0.8b,26.42662270367145,2,0,3192,0,896,4088,,,,,,True,
combo__move_header_row5__preamble_2_raw_empty_row.csv,qwen3.5:0.8b,25.516239650547504,2,0,2920,0,877,3797,,,,,,True,
file_mixed_time_formats_long_month_name_unquoted.csv,qwen3.5:0.8b,28.61234925687313,2,0,3164,0,987,4151,,,,,,True,
file_quotation_char_0x27.csv,qwen3.5:0.8b,33.32042121887207,2,0,3173,0,1202,4375,,,,,,True,
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,qwen3.5:0.8b,64.49200381338596,2,0,2622,0,2666,5288,,,,,,True,
file_less_columns_deleted_value_row_40_col_1.csv,qwen3.5:0.8b,63.863376796245575,2,0,2623,0,2665,5288,,,,,,True,
file_whitespace_delimiter_cells_unquoted_padded.csv,qwen3.5:0.8b,19.62265345454216,2,0,3169,0,586,3755,,,,,,True,
file_double_escaping_double_quote_row_2_col_7.csv,qwen3.5:0.8b,4.058053031563759,1,0,1116,0,78,1194,,,,,,True,
file_more_columns_row_34_col_1.csv,qwen3.5:0.8b,32.35251562297344,2,0,2638,0,1256,3894,,,,,,True,
file_embedded_json_cell_2_1_len_4.csv,qwen3.5:0.8b,9.49547741562128,2,0,2818,0,169,2987,,,,,,True,
file_preamble.csv,qwen3.5:0.8b,35.59575758129358,2,0,2616,0,1332,3948,,,,,,True,
file_less_columns_deleted_value_row_70_col_3.csv,qwen3.5:0.8b,7.603316478431225,2,0,2611,0,177,2788,,,,,,True,
file_field_delimiter_0x2C_0x20.csv,qwen3.5:0.8b,21.26396466046572,2,0,3213,0,664,3877,,,,,,True,
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,qwen3.5:0.8b,32.775762259960175,2,0,2992,0,1176,4168,,,,,,True,
source.csv,qwen3.5:0.8b,4.0215474888682365,1,0,1114,0,78,1192,,,,,,True,
file_footnote_3_blank_line.csv,qwen3.5:0.8b,8.725258275866508,2,0,3494,0,201,3695,,,,,,True,
file_quotation_char_none.csv,qwen3.5:0.8b,31.63390953838825,2,0,3163,0,1122,4285,,,,,,True,
file_mixed_time_formats_month_day_year.csv,qwen3.5:0.8b,3.9983750134706497,1,0,1114,0,78,1192,,,,,,True,
file_move_header_row8.csv,qwen3.5:0.8b,31.100722298026085,2,0,3164,0,1101,4265,,,,,,True,
file_header_multirow_3.csv,qwen3.5:0.8b,4.004564814269543,1,0,983,0,88,1071,,,,,,True,
file_more_columns_row_39_col_8.csv,qwen3.5:0.8b,64.098687492311,2,0,2641,0,2647,5288,,,,,,True,
file_mixed_delimiters_within_row_row_13_range_1_0x3B.csv,qwen3.5:0.8b,63.715607941150665,2,0,2621,0,2667,5288,,,,,,True,
file_mixed_time_formats_iso_8601.csv,qwen3.5:0.8b,29.64953326433897,2,0,3164,0,1039,4203,,,,,,True,
file_more_columns_row_9_col_6.csv,qwen3.5:0.8b,7.578302286565304,2,0,2650,0,174,2824,,,,,,True,
file_no_trailing_newline.csv,qwen3.5:0.8b,3.0963528007268906,1,0,1114,0,78,1192,,,,,,True,
file_footnote_3.csv,qwen3.5:0.8b,12.517778657376766,2,0,3494,0,367,3861,,,,,,True,
file_extremely_long_field_row_3_col_6_len_10000.csv,qwen3.5:0.8b,6.929695434868336,1,0,2850,0,78,2928,,,,,,True,
file_num_columns_1000.csv,qwen3.5:0.8b,19.79842483252287,1,0,2050,0,697,2747,,,,,,True,
file_whitespace_delimiter_cells_quoted_unpadded.csv,qwen3.5:0.8b,26.104828529059887,2,0,3201,0,877,4078,,,,,,True,
file_more_columns_row_72_col_5.csv,qwen3.5:0.8b,64.20906934887171,2,0,2630,0,2658,5288,,,,,,True,
file_mixed_time_formats_long_month_name.csv,qwen3.5:0.8b,33.87248804420233,2,0,3167,0,1203,4370,,,,,,True,
combo__multiline_header_rows_3__footnote_2_blank_line.csv,qwen3.5:0.8b,30.177587561309338,2,0,2992,0,1176,4168,,,,,,True,
file_commented_row_56.csv,qwen3.5:0.8b,4.03861840069294,1,0,1114,0,78,1192,,,,,,True,
file_footnote_1.csv,qwen3.5:0.8b,6.112534232437611,2,0,2816,0,132,2948,,,,,,True,
