file,clevercs_metric_ground_truth,clevercs_strict_ground_truth,clevercs_matched_ground_truth,clevercs_correct,clevercs_wrong,clevercs_evaluation_error,clevercs_success,clevercs_header_precision,clevercs_header_recall,clevercs_header_f1,clevercs_record_precision,clevercs_record_recall,clevercs_record_f1,clevercs_cell_precision,clevercs_cell_recall,clevercs_cell_f1
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.996031746031746,0.9986737400530504,0.9973509933774835
combo__move_header_row5__preamble_2_raw_empty_row.csv,canonical,,,0,1,,1,0.0,0.0,0.0,1.0,0.9651162790697675,0.9822485207100593,1.0,0.9973614775725593,0.9986789960369881
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.0,0.0,0.0,1.0,0.9325842696629213,0.9651162790697675,1.0,0.9947368421052631,0.9973614775725593
combo__multiline_header_rows_3__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.3333333333333333,1.0,0.5,1.0,0.9431818181818182,0.9707602339181286,1.0,0.9973614775725593,0.9986789960369881
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,canonical,,,0,1,,1,0.3333333333333333,1.0,0.5,0.9879518072289156,0.9318181818181818,0.9590643274853801,0.9947089947089947,0.9960264900662251,0.9953673064195896
combo__row_quotation_mark_2_0x27__mixed_delimiters_within_row_row_2_range_3_0x3B.csv,canonical,,,0,1,,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7301587301587301,0.6032786885245902,0.6606822262118491
file_commented_row_41.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_commented_row_49.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_commented_row_56.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_escaping_backslash_row_3_col_7.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_escaping_double_quote_row_2_col_7.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_double_trailing_newline.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,0.9880952380952381,0.9940119760479043,1.0,1.0,1.0
file_embedded_json_cell_2_1_len_4.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_escape_char_0x00.csv,canonical,,,0,1,,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0,0.0,0.7354497354497355,0.6056644880174292,0.6642771804062128
file_escape_char_0x5C.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_excel_formulas.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_extremely_long_field_row_3_col_6_len_10000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x20.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.40963855421686746,0.40963855421686746,0.4096385542168675,0.9351851851851852,0.8327444051825678,0.8809968847352025
file_field_delimiter_0x2C_0x20.csv,canonical,,,0,1,,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
file_field_delimiter_0x3B.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_field_delimiter_0x9.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_footnote_1.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,0.9880952380952381,0.9940119760479043,1.0,0.9986789960369881,0.9993390614672836
file_footnote_3.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,0.9651162790697675,0.9822485207100593,1.0,0.9960474308300395,0.998019801980198
file_footnote_3_blank_line.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,0.9540229885057471,0.976470588235294,1.0,0.9960474308300395,0.998019801980198
