filename,model,time_0,llm_calls_0,local_cache_hits_0,uncached_input_tokens_0,cached_input_tokens_0,completion_tokens_0,total_tokens_0,input_cost_usd_0,cached_input_cost_usd_0,output_cost_usd_0,estimated_api_cost_usd_0,billable_cost_usd_0,success_0,error_0
combo__row_quotation_mark_2_0x27__mixed_delimiters_within_row_row_2_range_3_0x3B.csv,gpt-5.6-luna,13.517966076731682,2,0,2447,0,1452,3899,,,,,,True,
file_less_columns_deleted_value_row_45_col_7.csv,gpt-5.6-luna,6.14238278567791,2,0,2351,0,468,2819,,,,,,True,
file_more_columns_row_79_col_7.csv,gpt-5.6-luna,8.051657177507877,2,0,2388,0,742,3130,,,,,,True,
file_commented_row_49.csv,gpt-5.6-luna,2.042053043842316,1,0,972,0,157,1129,,,,,,True,
file_no_payload.csv,gpt-5.6-luna,1.5403761565685272,1,0,297,0,102,399,,,,,,True,
file_header_only.csv,gpt-5.6-luna,1.4178624153137207,1,0,317,0,116,433,,,,,,True,
file_superheader_sparse_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,gpt-5.6-luna,1.9069287851452827,1,0,905,0,165,1070,,,,,,True,
file_num_rows_50000_repeat_file.csv,gpt-5.6-luna,5.387150414288044,1,0,972,0,126,1098,,,,,,True,
combo__move_header_row5__preamble_2_raw_empty_row__footnote_2_blank_line.csv,gpt-5.6-luna,4.637746959924698,2,0,3400,0,372,3772,,,,,,True,
file_escape_char_0x00.csv,gpt-5.6-luna,11.27237719297409,2,0,3230,0,1470,4700,,,,,,True,
file_record_delimiter_0xD.csv,gpt-5.6-luna,1.5604356527328491,1,0,972,0,120,1092,,,,,,True,
file_unquoted_lists_row_9_col_6.csv,gpt-5.6-luna,5.509162954986095,2,0,2460,0,539,2999,,,,,,True,
file_mixed_delimiters_within_row_row_13_range_3_0x3B.csv,gpt-5.6-luna,6.493835240602493,2,0,2451,0,648,3099,,,,,,True,
file_excel_formulas.csv,gpt-5.6-luna,1.713380865752697,1,0,972,0,147,1119,,,,,,True,
file_record_delimiter_0xA.csv,gpt-5.6-luna,1.7366996333003044,1,0,972,0,136,1108,,,,,,True,
file_superheader_whitespace_aligned_columns_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,gpt-5.6-luna,43.82237267494202,2,0,524287,0,4470,528757,,,,,,True,
file_whitespace_delimiter_cells_quoted_padded.csv,gpt-5.6-luna,39.15510439872742,2,0,425052,0,6352,431404,,,,,,True,
file_no_header.csv,gpt-5.6-luna,4.683375835418701,1,0,1021,0,433,1454,,,,,,True,
row_quotation_mark_12_0x27.csv,gpt-5.6-luna,7.285862483084202,2,0,2404,0,764,3168,,,,,,True,
file_whitespace_delimiter_cells_quoted_empty_last_column_padded.csv,gpt-5.6-luna,23.531376011669636,2,0,425135,0,2064,427199,,,,,,True,
