"vin_1_10","county","city","state","zip_code","model_year","make","model","ev_type","cafv_type","electric_range","legislative_district","dol_vehicle_id","geocoded_column","electric_utility","_2020_census_tract"
"1N4AZ1CP6K","Island","Oak Harbor","WA","98277","2019","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","150","10","101431172","POINT (-122.64682 48.29077)","PUGET SOUND ENERGY INC","53029970402"
"1N4AZ0CP8F","King","Kirkland","WA","98034","2015","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","1","162729787","POINT (-122.22901 47.72201)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022203"
"KNDC4DLC1P","Yakima","Zillah","WA","98953","2023","KIA","EV6","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","15","230006213","POINT (-120.26226 46.40199)","PACIFICORP","53077002201"
"WDDVP9AB6E","Thurston","Olympia","WA","98512","2014","MERCEDES-BENZ","B-CLASS","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","87","35","100195742","POINT (-123.04078 46.94792)","PUGET SOUND ENERGY INC","53067011822"
"KNDCE3LG1K","King","Seattle","WA","98125","2019","KIA","NIRO","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","239","46","2082874","POINT (-122.30253 47.72656)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033000700"
"1N4AZ1CP6K","Kitsap","Bremerton","WA","98310","2019","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","150","23","201871442","POINT (-122.61136 47.5752)","PUGET SOUND ENERGY INC","53035080102"
"1G1RA6E45E","Snohomish","Everett","WA","98204","2014","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","38","21","110397052","POINT (-122.27557 47.88936)","PUGET SOUND ENERGY INC","53061041901"
"5YJ3E1EB9L","King","Kent","WA","98031","2020","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","322","11","4866102","POINT (-122.17743 47.41185)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033029306"
"1G1RD6S51J","Thurston","Olympia","WA","98502","2018","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","53","22","185532112","POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC","53067012001"
"5YJ3E1EB9J","Kitsap","Port Orchard","WA","98366","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","26","260510022","POINT (-122.63847 47.54103)","PUGET SOUND ENERGY INC","53035092400"
"5YJXCAE22L","King","Bothell","WA","98011","2020","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","293","1","124626155","POINT (-122.20563 47.76144)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033021701"
"1G1FY6S06L","Kitsap","Port Orchard","WA","98367","2020","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","259","26","125916031","POINT (-122.68471 47.50524)","PUGET SOUND ENERGY INC","53035092802"
"5YJ3E1EB2K","Yakima","Yakima","WA","98908","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","14","478429570","POINT (-120.60199 46.59817)","PACIFICORP","53077000903"
"7JRH60FT7P","Snohomish","Lynnwood","WA","98087","2023","VOLVO","S60","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","41","21","282122396","POINT (-122.27981 47.85727)","PUGET SOUND ENERGY INC","53061041703"
"1N4AZ0CP7G","Kitsap","Silverdale","WA","98383","2016","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","23","212921278","POINT (-122.69275 47.65171)","PUGET SOUND ENERGY INC","53035091205"
"1G1FY6S02L","Yakima","Union Gap","WA","98903","2020","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","259","15","280393711","POINT (-120.71847 46.55029)","PACIFICORP","53077001300"
"WVWPR7AU7K","Snohomish","Monroe","WA","98272","2019","VOLKSWAGEN","E-GOLF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","125","39","2157984","POINT (-121.98087 47.8526)","PUGET SOUND ENERGY INC","53061052206"
"5YJYGDEE7L","King","Seattle","WA","98102","2020","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","291","43","107565881","POINT (-122.32427 47.63433)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033006500"
"5YJ3E1EB5J","King","Kent","WA","98031","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","47","475278296","POINT (-122.17743 47.41185)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033029407"
"JN1AZ0CP3B","King","Kirkland","WA","98034","2011","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","73","45","275997914","POINT (-122.22901 47.72201)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033021905"
"KNDJX3AE4J","King","Kirkland","WA","98033","2018","KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","111","48","230233118","POINT (-122.2066 47.67887)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022603"
"5YJSA1E27G","Snohomish","Everett","WA","98208","2016","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","210","21","136945966","POINT (-122.18637 47.89251)","PUGET SOUND ENERGY INC","53061041701"
"5YJ3E1EA7J","King","Kirkland","WA","98034","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","1","287031223","POINT (-122.22901 47.72201)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022203"
"1N4AZ0CP5D","King","Seattle","WA","98103","2013","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","75","43","140110743","POINT (-122.35436 47.67596)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033005401"
"1G1FY6S03L","Kitsap","Kingston","WA","98346","2020","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","259","23","141133765","POINT (-122.4977 47.79802)","PUGET SOUND ENERGY INC","53035940000"
"5YJYGDEE4L","Kitsap","Kingston","WA","98346","2020","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","291","23","112996341","POINT (-122.4977 47.79802)","PUGET SOUND ENERGY INC","53035090101"
"KNDJP3AEXG","Kitsap","Bremerton","WA","98311","2016","KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","93","23","244500119","POINT (-122.60915 47.62631)","PUGET SOUND ENERGY INC","53035091701"
"7SAYGDEE6P","Stevens","Colville","WA","99114","2023","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","7","257725506","POINT (-117.90454 48.54657)","AVISTA CORP","53065950500"
"5YJ3E1EC7L","King","Snoqualmie","WA","98065","2020","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","308","5","2013518","POINT (-121.82432 47.52716)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033032605"
"5YJ3E1EA2J","King","Auburn","WA","98092","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","47","334135735","POINT (-122.18263 47.31825)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033031207"
"5YJ3E1EA6J","King","Renton","WA","98056","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","11","232444936","POINT (-122.18839 47.51197)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033025500"
"1G1FW6S00H","Thurston","Tumwater","WA","98501","2017","CHEVROLET","BOLT EV","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","238","22","226358849","POINT (-122.89165 47.03954)","PUGET SOUND ENERGY INC","53067011821"
"1N4AZ0CP4D","King","Seattle","WA","98107","2013","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","75","43","221237271","POINT (-122.38591 47.67597)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033004800"
"1N4AZ1CP8L","Snohomish","Lake Stevens","WA","98258","2020","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","149","44","136834911","POINT (-122.06402 48.01497)","PUGET SOUND ENERGY INC","53061052606"
"5YJYGDEE8L","King","Auburn","WA","98092","2020","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","291","47","124422686","POINT (-122.18263 47.31825)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033031207"
"5YJ3E1EB7K","Kitsap","Olalla","WA","98359","2019","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","220","26","284680070","POINT (-122.54729 47.42602)","PUGET SOUND ENERGY INC","53035092803"
"5YJSA1E40F","Kitsap","Bremerton","WA","98312","2015","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","208","35","101445186","POINT (-122.65223 47.57192)","PUGET SOUND ENERGY INC","53035080900"
"5YJXCBE21L","Thurston","Lacey","WA","98516","2020","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","293","22","128865670","POINT (-122.78598 47.08476)","PUGET SOUND ENERGY INC","53067012226"
"7FCTGAAA5N","Yakima","Yakima","WA","98908","2022","RIVIAN","R1T","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","14","221155532","POINT (-120.60199 46.59817)","PACIFICORP","53077002801"
"7SAYGDED8T","Yakima","Yakima","WA","98901","2026","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","15","283412797","POINT (-120.50729 46.60464)","PACIFICORP","53077001602"
"5YJSA1H13F","Kitsap","Bremerton","WA","98312","2015","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","208","35","146339938","POINT (-122.65223 47.57192)","PUGET SOUND ENERGY INC","53035080900"
"5YJ3E1EA5J","Snohomish","Snohomish","WA","98290","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","39","235141224","POINT (-122.09305 47.91265)","PUGET SOUND ENERGY INC","53061052105"
"WA1F2AFY7M","Yakima","Yakima","WA","98901","2021","AUDI","Q5 E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","18","15","240592103","POINT (-120.50729 46.60464)","PACIFICORP","53077001602"
"JA4T5VA93P","Thurston","Yelm","WA","98597","2023","MITSUBISHI","OUTLANDER","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","38","2","286766406","POINT (-122.60735 46.94239)","PUGET SOUND ENERGY INC","53067012412"
"1N4AZ0CP5G","Kitsap","Bremerton","WA","98312","2016","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","84","35","107494789","POINT (-122.65223 47.57192)","PUGET SOUND ENERGY INC","53035080600"
"5UX43EU05R","King","Seattle","WA","98112","2024","BMW","X5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","39","43","257858905","POINT (-122.30207 47.64085)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033006200"
"1G1RC6E43F","Thurston","Olympia","WA","98501","2015","CHEVROLET","VOLT","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","38","22","270808730","POINT (-122.89165 47.03954)","PUGET SOUND ENERGY INC","53067010802"
"5UXTA6C04P","Yakima","Yakima","WA","98908","2023","BMW","X5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","30","14","228205190","POINT (-120.60199 46.59817)","PACIFICORP","53077000401"
"ZFAFFAA47R","Yakima","Yakima","WA","98908","2024","FIAT","500E","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","14","276121128","POINT (-120.60199 46.59817)","PACIFICORP","53077000401"
"WBY2Z2C50F","King","Seattle","WA","98115","2015","BMW","I8","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","14","46","195045252","POINT (-122.31676 47.68156)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033003800"
"1N4AZ0CP5D","King","Bothell","WA","98011","2013","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","75","1","182973052","POINT (-122.20563 47.76144)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)","53033022001"
"7YAKRDDCXS","Thurston","Lacey","WA","98513","2025","HYUNDAI","IONIQ 5","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","22","281642560","POINT (-122.80933 46.99531)","PUGET SOUND ENERGY INC","53067011623"
"5YJ3E1EA2J","King","Seattle","WA","98133","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","32","335544940","POINT (-122.33364 47.73709)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)","53033000403"
"KNDPZDAH2P","Kitsap","Port Orchard","WA","98367","2023","KIA","SPORTAGE","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","34","26","253619978","POINT (-122.68471 47.50524)","PUGET SOUND ENERGY INC","53035092102"
"5YJXCBE23L","Island","Oak Harbor","WA","98277","2020","TESLA","MODEL X","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","293","10","106390189","POINT (-122.64682 48.29077)","PUGET SOUND ENERGY INC","53029970300"
"WBY1Z2C5XE","Kitsap","Bremerton","WA","98311","2014","BMW","I3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","81","23","176066026","POINT (-122.60915 47.62631)","PUGET SOUND ENERGY INC","53035091500"
"5YJSA1E15G","Kitsap","Bremerton","WA","98312","2016","TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","210","35","273747106","POINT (-122.65223 47.57192)","PUGET SOUND ENERGY INC","53035080700"
"1N4BZ1CP1K","Kitsap","Port Orchard","WA","98367","2019","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","150","35","441889738","POINT (-122.68471 47.50524)","PUGET SOUND ENERGY INC","53035092901"
"KM8K33AG6L","Thurston","Yelm","WA","98597","2020","HYUNDAI","KONA","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","258","2","172422428","POINT (-122.60735 46.94239)","PUGET SOUND ENERGY INC","53067012412"
"1N4AZ1CPXJ","Thurston","Yelm","WA","98597","2018","NISSAN","LEAF","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","151","2","298533336","POINT (-122.60735 46.94239)","PUGET SOUND ENERGY INC","53067012510"
"5YJ3E1EA7P","Snohomish","Bothell","WA","98021","2023","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","1","255126203","POINT (-122.18384 47.8031)","PUGET SOUND ENERGY INC","53061051914"
"5UX43EU04R","Kitsap","Poulsbo","WA","98370","2024","BMW","X5","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible","39","23","258849454","POINT (-122.64681 47.73689)","PUGET SOUND ENERGY INC","53035090502"
"KNDADFS52R","Thurston","Olympia","WA","98502","2024","KIA","EV9","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","22","272731224","POINT (-122.92333 47.03779)","PUGET SOUND ENERGY INC","53067010520"
"WA1VABGE5K","Kitsap","Bainbridge Island","WA","98110","2019","AUDI","E-TRON","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","204","23","110717316","POINT (-122.521 47.62759)","PUGET SOUND ENERGY INC","53035090901"
"YV4BR0CK2M","Snohomish","Lake Stevens","WA","98258","2021","VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","18","44","271789479","POINT (-122.06402 48.01497)","PUGET SOUND ENERGY INC","53061052506"
"7SAYGDEE2N","Yakima","Selah","WA","98942","2022","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Eligibility unknown as battery range has not been researched","0","15","200544333","POINT (-120.53145 46.65405)","PACIFICORP","53077003400"
"5YJYGDEE9L","Snohomish","Everett","WA","98203","2020","TESLA","MODEL Y","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","291","38","125848271","POINT (-122.23019 47.94949)","PUGET SOUND ENERGY INC","53061040900"
"5YJ3E1EB3J","Snohomish","Arlington","WA","98223","2018","TESLA","MODEL 3","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible","215","39","270598933","POINT (-122.1264 48.19471)","PUGET SOUND ENERGY INC","53061053509"
"JTDKN3DP8C","Snohomish","Edmonds","WA","98020","2012","TOYOTA","PRIUS","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range","6","32","212148366","POINT (-122.37695 47.81113)","PUGET SOUND ENERGY INC","53061050800"
