file,pycsv_success,pycsv_header_precision,pycsv_header_recall,pycsv_header_f1,pycsv_record_precision,pycsv_record_recall,pycsv_record_f1,pycsv_cell_precision,pycsv_cell_recall,pycsv_cell_f1
unicode_bom_plus_smart_quotes.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf16be_in_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf16le_in_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf32be.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_utf8_doubled.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_with_embedded_nul.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_with_nel.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_bom_with_ps.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_crlf_to_lf_with_bom.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_fffd_everywhere.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_ideographic_space_delim.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unicode_invalid_utf8_bytes.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_invalid_utf8_in_quoted_field.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_lone_surrogate.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_ls_no_terminator.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_mixed_header_utf16_body_utf8.csv,1,0.0,0.0,0.0,0.927710843373494,0.9166666666666666,0.9221556886227544,0.9788359788359788,0.9762532981530343,0.9775429326287979
unicode_mixed_line_endings.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_mixed_smart_ascii_quotes.csv,1,1.0,1.0,1.0,0.4578313253012048,0.4578313253012048,0.4578313253012048,0.8664021164021164,0.7806912991656734,0.8213166144200625
unicode_multiple_boms_scattered.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_nbsp_field_delim.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
unicode_overlong_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_record_delim_ls.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_record_delim_nel.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_record_delim_ps.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_rlm_lrm_marks.csv,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
unicode_smart_double_quotes.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_smart_quotes_invalid_utf8.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_smart_single_quotes.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unicode_utf16be_file.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9907529722589168,0.991407799074686
unicode_utf16le_file.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9907529722589168,0.991407799074686
unicode_zwsp_around_every_delim.csv,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quote_cascading_unclosed.csv,1,1.0,1.0,1.0,0.9036144578313253,0.9036144578313253,0.9036144578313253,0.9722222222222222,0.985254691689008,0.9786950732356857
quote_char_apostrophe.csv,1,1.0,1.0,1.0,0.5903614457831325,0.5903614457831325,0.5903614457831325,0.9457671957671958,0.9062103929024081,0.9255663430420713
quote_char_backtick.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quote_char_caret.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quote_char_dollar.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quote_char_hash.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quote_char_pipe.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quote_char_section.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quote_char_tilde.csv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quote_close_then_garbage_many.csv,1,1.0,1.0,1.0,0.8433734939759037,0.8433734939759037,0.8433734939759037,0.876984126984127,0.8554838709677419,0.8661005878510777
quote_decl_backslash_use_doubled.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9907529722589168,0.991407799074686
quote_doubled_chain_many.csv,1,1.0,1.0,1.0,0.9036144578313253,0.9036144578313253,0.9036144578313253,0.9603174603174603,0.989100817438692,0.974496644295302
quote_empty_quoted_many.csv,1,1.0,1.0,1.0,0.8674698795180723,0.8674698795180723,0.8674698795180723,0.9603174603174603,0.9490196078431372,0.9546351084812623
quote_eof_open_long.csv,1,1.0,1.0,1.0,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.9841269841269841,0.9893617021276596,0.986737400530504
quote_eof_quote_then_data.csv,1,1.0,1.0,1.0,0.927710843373494,0.9166666666666666,0.9221556886227544,0.9920634920634921,0.9894459102902374,0.9907529722589168
quote_eof_unclosed_ws.csv,1,1.0,1.0,1.0,0.927710843373494,0.9166666666666666,0.9221556886227544,0.9920634920634921,0.9894459102902374,0.9907529722589168
quote_esc_before_delim.csv,1,1.0,1.0,1.0,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.9854497354497355,0.9738562091503268,0.9796186719263642
quote_every_field_triple_many.csv,1,1.0,1.0,1.0,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.8809523809523809,0.8660598179453837,0.8734426229508195
quote_in_header_only.csv,1,0.3333333333333333,0.75,0.46153846153846156,0.927710843373494,0.927710843373494,0.927710843373494,0.9841269841269841,0.9893617021276596,0.986737400530504
quote_inside_unquoted_many.csv,1,1.0,1.0,1.0,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.9814814814814815,0.9776021080368906,0.9795379537953796
quote_interlocked_pairs.csv,1,1.0,1.0,1.0,0.6385542168674698,0.726027397260274,0.6794871794871795,0.8148148148148148,0.9361702127659575,0.8712871287128713
quote_open5_close80.csv,1,1.0,1.0,1.0,0.963855421686747,0.975609756097561,0.9696969696969697,0.9814814814814815,0.9933065595716198,0.9873586161011311
quote_open_header_close_data.csv,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9036144578313253,0.9146341463414634,0.9090909090909091,0.9801587301587301,0.9853723404255319,0.9827586206896551
quote_open_header_close_row5.csv,1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9759036144578314,0.9878048780487805,0.9818181818181818,0.9867724867724867,0.9959946595460614,0.9913621262458472
quote_ragged_opens.csv,1,1.0,1.0,1.0,0.8072289156626506,0.8072289156626506,0.8072289156626506,0.9140211640211641,0.9623955431754875,0.9375848032564451
quote_storm.csv,1,1.0,1.0,1.0,0.6626506024096386,0.6626506024096386,0.6626506024096386,0.8174603174603174,0.9101620029455081,0.8613240418118466
quote_unquoted_with_quoted_comma.csv,1,1.0,1.0,1.0,0.8554216867469879,0.8554216867469879,0.8554216867469879,0.9801587301587301,0.9698952879581152,0.975
quote_unterminated_open5_close50.csv,1,1.0,1.0,1.0,0.963855421686747,0.975609756097561,0.9696969696969697,0.9814814814814815,0.9959731543624161,0.988674217188541
typeinfer_comments_all_unquoted_two_values.csv,1,1.0,1.0,1.0,0.0,0.0,0.0,0.8822751322751323,0.794047619047619,0.8358395989974936
typeinfer_date_2digit_4digit.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9907529722589168,0.991407799074686
typeinfer_date_excel_serials.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9907529722589168,0.991407799074686
typeinfer_date_iso_timestamps.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9907529722589168,0.991407799074686
typeinfer_desc_all_currency_prefix.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9907529722589168,0.991407799074686
typeinfer_late_rows_extra_cell.csv,1,1.0,1.0,1.0,0.8795180722891566,0.8795180722891566,0.8795180722891566,0.9854497354497355,0.9776902887139107,0.981554677206851
typeinfer_mega_late_currency_overflow_eu.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9907529722589168,0.991407799074686
typeinfer_multi_column_late_anomaly.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9907529722589168,0.991407799074686
typeinfer_price_all_no_dollar.csv,1,1.0,1.0,1.0,0.927710843373494,0.927710843373494,0.927710843373494,0.9920634920634921,0.9907529722589168,0.991407799074686
typeinfer_price_all_unquoted_eu.csv,1,1.0,1.0,1.0,0.0,0.0,0.0,0.8822751322751323,0.794047619047619,0.8358395989974936
