filename,llm_hybrid_parser_gpt_5_4_mini_time_0
row_less_sep_row4_col4.csv,0.23129892349243164
row_field_delimiter_3_0x20.csv,0.16472482681274414
row_more_sep_row19_col4.csv,0.12056756019592285
file_field_delimiter_0x2C_0x20.csv,0.10646939277648926
file_field_delimiter_0x9.csv,0.04464864730834961
file_escape_char_0x5C.csv,0.105194091796875
file_field_delimiter_0x3B.csv,0.04415535926818848
row_field_delimiter_34_0x20.csv,0.09350323677062988
row_less_sep_row3_col1.csv,0.09417510032653809
row_more_sep_row3_col0.csv,0.08654308319091797
row_less_sep_row3_col2.csv,0.09064888954162598
file_header_multirow_3.csv,0.04688215255737305
file_quotation_char_0x27.csv,0.10606002807617188
row_extra_quote3_col5.csv,0.1065673828125
file_escape_char_0x00.csv,0.10085391998291016
row_extra_quote3_col0.csv,0.10498309135437012
file_field_delimiter_0x20.csv,0.10514950752258301
